Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Conversions,Visits with Conversions,Revenue,Conversion Rate,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds),Avg. Duration of a Returning Visit (in sec),Avg. Actions per Returning Visit,Bounce Rate for Returning Visits,Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit
2018-09-14,1,1,0,7,7,0,335,0,0,0,0%,0,0,0,0%,7,4,0,0,0,0,0,0,7,4.03s,0%,7,00:05:35,00:00:00,0,0%
2018-09-16,1,1,0,2,2,0,22,0,0,0,0%,0,0,0,0%,2,2,0,0,0,0,0,0,1,1.03s,0%,2,00:00:22,00:00:00,0,0%
2018-09-17,7,14,0,48,11,5,4411,0,0,0,0%,0,0,0,0%,48,30,0,0,0,0,0,0,43,0.72s,36%,3.4,00:05:15,00:07:48,3.7,43%,7,26,4,0,11,0,0,0,0%
2018-09-18,10,15,0,90,34,8,11970,0,0,0,0%,0,0,0,0%,90,48,0,0,0,0,0,0,78,0.59s,53%,6,00:13:18,00:22:00,9.1,33%,9,82,5,0,34,0,0,0,0%
2018-09-19,10,13,0,43,9,4,6834,0,0,0,0%,0,0,0,0%,43,26,0,0,0,0,0,0,36,0.92s,31%,3.3,00:08:46,00:12:55,4.6,0%,5,23,4,0,9,0,0,0,0%
2018-09-20,5,8,0,91,29,2,7768,0,0,0,0%,0,0,0,0%,91,31,0,0,0,0,0,0,77,0.96s,25%,11.4,00:16:11,00:18:30,12.9,14%,7,90,4,0,29,0,0,0,0%
2018-09-21,3,3,0,5,2,1,1018,0,0,0,0%,0,0,0,0%,5,5,0,0,0,0,0,0,4,1.07s,33%,1.7,00:05:39,00:00:20,2,0%,1,2,1,0,2,0,0,0,0%
2018-09-22,3,3,0,8,4,1,200,0,0,0,0%,0,0,0,0%,8,4,0,0,0,0,0,0,6,0.59s,33%,2.7,00:01:07,00:02:30,3,0%,1,3,1,0,3,0,0,0,0%
2018-09-23,1,2,0,8,5,0,2966,0,0,0,0%,0,0,0,0%,8,6,0,0,0,0,0,0,8,1.05s,0%,4,00:24:43,00:47:15,5,0%,1,5,1,0,5,0,0,0,0%
2018-09-24,3,3,0,6,3,1,500,0,0,0,0%,0,0,0,0%,6,6,0,0,0,0,0,0,6,0.49s,33%,2,00:02:47,00:00:00,0,0%,,,,,,,,,
2018-09-25,20,28,0,131,32,9,10185,0,0,0,0%,0,0,0,0%,129,63,0,0,2,2,0,0,91,0.75s,32%,4.7,00:06:04,00:10:46,7,17%,12,84,6,0,32,0,0,0,0%
2018-09-26,18,22,0,56,15,13,5851,0,0,0,0%,0,0,0,0%,56,37,0,0,0,0,0,0,38,0.87s,59%,2.5,00:04:26,00:09:31,3.4,44%,9,31,7,0,15,0,0,0,0%
2018-09-27,11,19,0,42,12,10,2688,0,0,0,0%,0,0,0,0%,42,30,0,0,0,0,0,0,29,0.73s,53%,2.2,00:02:21,00:03:21,2.6,46%,13,34,5,0,12,0,0,0,0%
2018-09-28,15,16,0,47,13,8,4581,0,0,0,0%,0,0,0,0%,46,29,0,0,1,1,0,0,34,1.43s,50%,2.9,00:04:46,00:08:10,4.3,50%,4,17,4,0,13,0,0,0,0%
2018-09-29,2,2,0,2,1,2,0,0,0,0,0%,0,0,0,0%,2,2,0,0,0,0,0,0,2,0.17s,100%,1,00:00:00,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2018-09-30,3,4,0,4,1,4,0,0,0,0,0%,0,0,0,0%,4,4,0,0,0,0,0,0,4,3.63s,100%,1,00:00:00,00:00:00,1,100%,3,3,2,0,1,0,0,0,0%
2018-10-01,29,38,0,137,30,14,6759,0,0,0,0%,0,0,0,0%,136,87,0,0,1,1,0,0,117,1.17s,37%,3.6,00:02:58,00:05:42,5.6,27%,15,84,11,0,30,0,0,0,0%
2018-10-02,10,12,0,70,33,4,8578,0,0,0,0%,0,0,0,0%,70,31,0,0,0,0,0,0,32,0.88s,33%,5.8,00:11:55,00:13:48,8.5,33%,6,51,5,0,33,0,0,0,0%
2018-10-03,5,5,0,14,6,2,2857,0,0,0,0%,0,0,0,0%,13,10,0,0,1,1,0,0,11,0.76s,40%,2.8,00:09:31,00:07:44,1.3,67%,3,4,3,0,2,0,0,0,0%
2018-10-04,10,12,0,37,16,5,4864,0,0,0,0%,0,0,0,0%,37,26,0,0,0,0,0,0,22,1.03s,42%,3.1,00:06:45,00:00:19,1.3,75%,4,5,3,0,2,0,0,0,0%
2018-10-05,7,13,0,84,35,5,10146,0,0,0,0%,0,0,0,0%,83,31,0,0,1,1,0,0,69,2.05s,38%,6.5,00:13:00,00:16:53,8.6,33%,9,77,4,0,35,0,0,0,0%
2018-10-06,7,7,0,19,8,4,2203,0,0,0,0%,0,0,0,0%,19,12,0,0,0,0,0,0,18,0.57s,57%,2.7,00:05:15,00:01:26,4,0%,1,4,1,0,4,0,0,0,0%
