Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,Bounce Rate for Returning Visits,Avg. Actions per Returning Visit,Avg. Duration of a Returning Visit (in sec),Conversions,Visits with Conversions,Revenue,Conversion Rate,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds)
2016-01-01,21,28,0,59,15,19,9053,13,41,7,0,15,46%,3.2,00:09:15,2,2,0,7.14%,2,2,0,13.33%,0,0,0,0%,59,29,0,0,0,0,0,0,28,1.09s,68%,2.1,00:05:23
2016-01-02,11,18,0,31,6,10,1701,13,24,6,0,6,54%,1.8,00:01:32,1,1,0,5.56%,1,1,0,20%,0,0,0,0%,31,18,0,0,0,0,0,0,10,0.6s,56%,1.7,00:01:35
2016-01-03,10,18,0,21,2,15,72,16,19,8,0,2,81%,1.2,00:00:05,0,0,0,0%,0,0,0,0%,0,0,0,0%,21,18,0,0,0,0,0,0,9,1.08s,83%,1.2,00:00:04
2016-01-04,19,32,0,52,5,19,10031,23,43,10,0,5,43%,1.9,00:07:16,0,0,0,0%,0,0,0,0%,0,0,0,0%,52,32,0,0,0,0,0,0,32,0.71s,59%,1.6,00:05:13
2016-01-05,6,11,0,20,6,7,3598,9,18,5,0,6,56%,2,00:06:40,0,0,0,0%,0,0,0,0%,0,0,0,0%,20,11,0,0,0,0,0,0,6,0.01s,64%,1.8,00:05:27
2016-11-02,1,1,0,1,1,1,0,,,,,,0%,0,00:00:00,0,0,0,0%,0,0,0,0%,,,,,1,1,0,0,0,0,0,0,1,0.18s,100%,1,00:00:00
2016-11-03,2,2,0,2,1,2,0,,,,,,0%,0,00:00:00,0,0,0,0%,0,0,0,0%,,,,,2,2,0,0,0,0,0,0,2,5.39s,100%,1,00:00:00
2016-11-04,1,1,0,1,1,1,0,,,,,,0%,0,00:00:00,0,0,0,0%,0,0,0,0%,,,,,1,1,0,0,0,0,0,0,1,0.35s,100%,1,00:00:00
2016-11-05,1,1,0,1,1,1,0,1,1,1,0,1,100%,1,00:00:00,0,0,0,0%,,,,,0,0,0,0%,1,1,0,0,0,0,0,0,,,100%,1,00:00:00
2016-11-07,1,1,0,1,1,1,0,,,,,,0%,0,00:00:00,0,0,0,0%,0,0,0,0%,,,,,1,1,0,0,0,0,0,0,1,0.91s,100%,1,00:00:00
2016-11-09,3,3,0,4,2,2,227,,,,,,0%,0,00:00:00,0,0,0,0%,0,0,0,0%,,,,,4,3,0,0,0,0,0,0,4,0.17s,67%,1.3,00:01:16
2016-11-10,3,3,0,3,1,3,0,2,2,2,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,3,3,0,0,0,0,0,0,3,0.15s,100%,1,00:00:00
2016-11-15,1,1,0,1,1,1,0,1,1,1,0,1,100%,1,00:00:00,0,0,0,0%,,,,,0,0,0,0%,1,1,0,0,0,0,0,0,1,0.29s,100%,1,00:00:00
2016-11-17,1,1,0,1,1,1,0,1,1,1,0,1,100%,1,00:00:00,0,0,0,0%,,,,,0,0,0,0%,1,1,0,0,0,0,0,0,1,0.03s,100%,1,00:00:00
