Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,Bounce Rate for Returning Visits,Avg. Actions per Returning Visit,Avg. Duration of a Returning Visit (in sec),Conversions,Visits with Conversions,Revenue,Conversion Rate,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds)
2017-08-31,5,8,0,31,20,5,708,3,7,2,0,4,33%,2.3,00:00:20,0,0,0,0%,0,0,0,0%,0,0,0,0%,31,20,0,0,0,0,0,0,30,0.1s,63%,3.9,00:01:29
2017-09-01,1,1,0,1,1,1,0,,,,,,0%,0,00:00:00,0,0,0,0%,0,0,0,0%,,,,,1,1,0,0,0,0,0,0,1,0.08s,100%,1,00:00:00
2017-09-02,1,1,0,1,1,1,0,,,,,,0%,0,00:00:00,0,0,0,0%,0,0,0,0%,,,,,1,1,0,0,0,0,0,0,1,0.11s,100%,1,00:00:00
2017-09-04,3,3,0,23,20,1,930,,,,,,0%,0,00:00:00,0,0,0,0%,0,0,0,0%,,,,,23,10,0,0,0,0,0,0,23,3.43s,33%,7.7,00:05:10
2017-09-05,4,11,0,205,151,4,9125,9,191,2,0,151,44%,21.2,00:09:27,0,0,0,0%,0,0,0,0%,0,0,0,0%,204,96,0,0,1,1,0,0,204,0.59s,36%,18.6,00:13:50
2017-09-06,6,13,0,149,54,2,12895,9,93,3,0,54,22%,10.3,00:16:08,0,0,0,0%,0,0,0,0%,0,0,0,0%,146,71,3,3,0,0,0,0,146,0.11s,15%,11.5,00:16:32
2017-09-07,10,28,0,395,101,14,19988,22,161,7,0,64,64%,7.3,00:07:01,0,0,0,0%,0,0,0,0%,0,0,0,0%,392,122,1,1,2,2,0,0,392,0.16s,50%,14.1,00:11:54
2017-09-08,12,16,0,146,52,7,12278,9,127,5,0,52,33%,14.1,00:17:56,0,0,0,0%,0,0,0,0%,0,0,0,0%,134,64,4,4,8,8,0,0,133,0.14s,44%,9.1,00:12:47
2017-09-09,9,12,0,92,39,3,5739,6,72,5,0,39,17%,12,00:10:24,0,0,0,0%,0,0,0,0%,0,0,0,0%,92,54,0,0,0,0,0,0,92,0.22s,25%,7.7,00:07:58
2017-09-10,14,16,0,77,33,10,9305,5,47,5,0,33,20%,9.4,00:27:37,0,0,0,0%,0,0,0,0%,0,0,0,0%,75,51,2,2,0,0,0,0,73,0.24s,63%,4.8,00:09:42
2017-09-11,53,66,0,470,126,22,28612,18,280,10,0,126,17%,15.6,00:12:43,0,0,0,0%,0,0,0,0%,0,0,0,0%,274,198,189,173,7,7,0,0,271,0.3s,33%,7.1,00:07:14
2017-09-12,27,32,0,187,72,13,9787,14,83,9,0,30,29%,5.9,00:07:20,0,0,0,0%,0,0,0,0%,0,0,0,0%,170,83,16,15,1,1,0,0,170,0.26s,41%,5.8,00:05:06
2017-09-13,18,23,0,69,22,14,2292,13,53,9,0,22,62%,4.1,00:02:44,0,0,0,0%,0,0,0,0%,0,0,0,0%,67,49,2,2,0,0,0,0,67,1.27s,61%,3,00:01:40
2017-09-14,11,12,0,16,3,9,830,2,3,2,0,2,50%,1.5,00:00:01,0,0,0,0%,0,0,0,0%,0,0,0,0%,15,15,1,1,0,0,0,0,15,0.16s,75%,1.3,00:01:09
2017-09-15,12,19,0,86,16,7,8783,10,54,5,0,16,30%,5.4,00:09:57,0,0,0,0%,0,0,0,0%,0,0,0,0%,75,52,8,7,3,3,0,0,75,0.18s,37%,4.5,00:07:42
2017-09-16,5,6,0,33,8,1,2021,3,16,2,0,6,0%,5.3,00:09:38,0,0,0,0%,0,0,0,0%,0,0,0,0%,27,19,6,2,0,0,0,0,27,0.3s,17%,5.5,00:05:37
2017-09-17,6,8,0,123,67,1,3688,5,51,3,0,43,20%,10.2,00:06:14,0,0,0,0%,0,0,0,0%,0,0,0,0%,114,37,9,9,0,0,0,0,114,0.29s,13%,15.4,00:07:41
2017-09-18,39,48,0,205,35,25,5597,14,87,6,0,35,36%,6.2,00:01:59,0,0,0,0%,0,0,0,0%,0,0,0,0%,199,123,2,2,4,4,0,0,195,0.2s,52%,4.3,00:01:57
2017-09-19,173,259,0,1988,59,84,111648,88,575,40,0,54,41%,6.5,00:07:05,0,0,0,0%,0,0,0,0%,0,0,0,0%,1958,1038,16,16,14,13,0,0,1906,0.49s,32%,7.7,00:07:11
2017-09-20,108,125,0,707,45,43,37736,28,183,22,0,39,36%,6.5,00:05:14,0,0,0,0%,0,0,0,0%,0,0,0,0%,690,418,13,12,4,3,0,0,688,0.33s,34%,5.7,00:05:02
2017-09-21,74,94,0,493,28,33,34799,29,160,22,0,22,24%,5.5,00:06:18,0,0,0,0%,0,0,0,0%,0,0,0,0%,481,318,10,10,2,2,0,0,465,0.6s,35%,5.2,00:06:10
2017-09-22,79,111,0,1068,118,37,65104,47,392,28,0,54,40%,8.3,00:11:43,0,0,0,0%,0,0,0,0%,0,0,0,0%,1051,456,5,5,12,9,0,0,1040,0.31s,33%,9.6,00:09:47
2017-09-23,37,56,0,444,94,27,21024,29,146,18,0,24,55%,5,00:03:19,0,0,0,0%,0,0,0,0%,0,0,0,0%,432,191,8,8,4,4,0,0,431,0.35s,48%,7.9,00:06:15
2017-09-24,30,33,0,244,60,12,14713,9,51,8,0,36,56%,5.7,00:04:06,0,0,0,0%,0,0,0,0%,0,0,0,0%,235,104,7,6,2,2,0,0,235,0.41s,36%,7.4,00:07:26
2017-09-25,77,126,0,1093,88,48,65051,65,520,31,0,65,48%,8,00:07:14,0,0,0,0%,0,0,0,0%,0,0,0,0%,1077,534,14,14,2,2,0,0,1063,0.37s,38%,8.7,00:08:36
2017-09-26,68,96,0,769,60,30,46354,42,330,23,0,60,36%,7.9,00:08:48,0,0,0,0%,0,0,0,0%,0,0,0,0%,757,358,3,3,9,6,0,0,732,0.27s,31%,8,00:08:03
2017-09-27,75,102,0,805,78,34,49956,49,422,30,0,78,41%,8.6,00:08:52,0,0,0,0%,0,0,0,0%,0,0,0,0%,790,409,11,8,4,3,0,0,789,0.43s,33%,7.9,00:08:10
2017-09-28,67,100,0,633,78,52,31306,53,429,31,0,78,57%,8.1,00:04:36,0,0,0,0%,0,0,0,0%,0,0,0,0%,626,315,4,4,3,3,0,0,624,0.83s,52%,6.3,00:05:13
2017-09-29,60,84,0,509,47,33,30878,35,199,26,0,31,43%,5.7,00:06:28,0,0,0,0%,0,0,0,0%,0,0,0,0%,502,302,4,4,3,3,0,0,499,0.59s,39%,6.1,00:06:08
2017-09-30,30,34,0,186,45,16,8520,11,26,8,0,10,55%,2.4,00:01:14,0,0,0,0%,0,0,0,0%,0,0,0,0%,183,98,0,0,3,3,0,0,183,0.93s,47%,5.5,00:04:11
2017-10-01,29,54,0,390,43,27,23015,37,235,16,0,30,46%,6.4,00:05:13,0,0,0,0%,0,0,0,0%,0,0,0,0%,386,205,1,1,3,2,0,0,386,0.3s,50%,7.2,00:07:06
2017-10-02,57,76,0,503,74,31,25019,34,272,19,0,74,50%,8,00:05:58,0,0,0,0%,0,0,0,0%,0,0,0,0%,493,246,7,6,3,3,0,0,488,0.95s,41%,6.6,00:05:29
