Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,Bounce Rate for Returning Visits,Avg. Actions per Returning Visit,Avg. Duration of a Returning Visit (in sec),Conversions,Visits with Conversions,Revenue,Conversion Rate,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds)
2016-01-01,7,8,0,44,30,5,2087,1,6,1,0,6,0%,6,00:03:14,0,0,0,0%,0,0,0,0%,0,0,0,0%,42,31,1,1,1,1,0,0,37,0.55s,63%,5.5,00:04:21
2016-01-02,8,9,0,28,10,5,1210,4,14,3,0,10,50%,3.5,00:03:57,0,0,0,0%,0,0,0,0%,0,0,0,0%,25,19,0,0,3,2,0,0,23,2.34s,56%,3.1,00:02:14
2016-01-03,4,5,0,5,1,5,0,2,2,1,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,5,5,0,0,0,0,0,0,5,1.24s,100%,1,00:00:00
2016-01-04,22,24,0,63,22,16,1839,4,8,2,0,4,50%,2,00:00:47,0,0,0,0%,0,0,0,0%,0,0,0,0%,46,41,0,0,17,15,0,0,45,0.8s,67%,2.6,00:01:17
2016-01-05,10,15,0,62,22,5,3042,7,24,4,0,9,14%,3.4,00:00:55,0,0,0,0%,0,0,0,0%,0,0,0,0%,59,54,0,0,3,3,0,0,57,0.49s,33%,4.1,00:03:23
2016-01-06,13,21,0,66,12,9,6009,12,37,6,0,12,42%,3.1,00:01:46,0,0,0,0%,0,0,0,0%,0,0,0,0%,59,48,4,4,3,3,0,0,47,0.5s,43%,3.1,00:04:46
2016-01-07,7,14,0,29,5,7,531,10,25,3,0,5,30%,2.5,00:00:53,0,0,0,0%,0,0,0,0%,0,0,0,0%,29,29,0,0,0,0,0,0,29,0.62s,50%,2.1,00:00:38
2016-01-08,13,14,0,38,8,7,1667,4,17,4,0,8,25%,4.3,00:01:35,0,0,0,0%,0,0,0,0%,0,0,0,0%,33,30,1,1,4,4,0,0,26,0.83s,50%,2.7,00:01:59
2016-01-09,7,13,0,27,5,6,815,9,18,3,0,5,44%,2,00:00:07,0,0,0,0%,0,0,0,0%,0,0,0,0%,26,24,1,1,0,0,0,0,26,0.29s,46%,2.1,00:01:03
2016-01-10,13,16,0,46,10,10,2781,4,15,2,0,10,50%,3.8,00:00:50,0,0,0,0%,0,0,0,0%,0,0,0,0%,41,33,2,2,3,3,0,0,34,0.62s,63%,2.9,00:02:54
2016-01-11,18,22,0,84,33,11,11110,9,44,5,0,33,56%,4.9,00:14:14,0,0,0,0%,0,0,0,0%,0,0,0,0%,70,46,2,2,12,12,0,0,65,0.41s,50%,3.8,00:08:25
