Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,Bounce Rate for Returning Visits,Avg. Actions per Returning Visit,Avg. Duration of a Returning Visit (in sec),Conversions,Visits with Conversions,Revenue,Conversion Rate,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds)
2016-01-01,190,209,0,592,29,126,32277,49,173,39,0,23,49%,3.5,00:04:46,0,0,0,0%,0,0,0,0%,0,0,0,0%,563,441,7,6,21,19,1,1,492,0.33s,60%,2.8,00:02:34
2016-01-02,227,265,0,606,22,177,39299,71,170,48,0,16,65%,2.4,00:04:29,0,0,0,0%,0,0,0,0%,0,0,0,0%,578,480,9,9,18,16,1,1,510,0.47s,67%,2.3,00:02:28
2016-01-03,222,249,0,585,22,163,42235,75,200,60,0,22,59%,2.7,00:03:05,0,0,0,0%,0,0,0,0%,0,0,0,0%,552,459,7,7,25,21,1,1,501,0.45s,65%,2.3,00:02:50
2016-01-04,349,401,0,1112,40,240,84192,114,375,87,0,22,52%,3.3,00:05:24,0,0,0,0%,0,0,0,0%,0,0,0,0%,1053,823,19,18,33,30,7,7,978,0.71s,60%,2.8,00:03:30
2016-01-05,417,499,0,1347,48,306,94681,169,575,130,0,48,57%,3.4,00:03:59,0,0,0,0%,0,0,0,0%,0,0,0,0%,1264,971,13,13,70,53,0,0,1140,0.46s,61%,2.7,00:03:10
2016-01-06,373,434,0,1151,52,265,87404,142,424,114,0,52,60%,3,00:04:02,0,0,0,0%,0,0,0,0%,0,0,0,0%,1088,851,9,9,54,49,0,0,1003,0.34s,61%,2.7,00:03:21
2016-01-07,398,466,0,1247,90,314,95567,142,503,104,0,90,65%,3.5,00:06:10,0,0,0,0%,0,0,0,0%,0,0,0,0%,1171,907,11,10,54,45,11,7,1084,0.55s,67%,2.7,00:03:25
2016-01-08,366,419,0,1033,31,274,70748,139,316,114,0,23,68%,2.3,00:03:44,0,0,0,0%,0,0,0,0%,0,0,0,0%,975,797,6,6,50,44,2,2,848,0.45s,65%,2.5,00:02:49
2016-01-09,207,254,0,725,52,162,63863,84,321,51,0,52,62%,3.8,00:05:35,0,0,0,0%,0,0,0,0%,0,0,0,0%,698,495,6,6,18,16,3,2,613,0.49s,64%,2.9,00:04:11
2016-01-10,229,275,0,847,60,168,55798,81,398,54,0,60,51%,4.9,00:06:35,0,0,0,0%,0,0,0,0%,0,0,0,0%,813,578,6,6,27,24,1,1,717,0.48s,61%,3.1,00:03:23
2016-01-11,383,450,0,967,26,316,68878,143,333,100,0,26,73%,2.3,00:02:22,0,0,0,0%,0,0,0,0%,0,0,0,0%,902,755,12,11,46,42,7,5,830,0.66s,70%,2.1,00:02:33
2016-01-12,445,519,0,1460,147,322,103159,148,560,108,0,147,57%,3.8,00:05:30,0,0,0,0%,0,0,0,0%,0,0,0,0%,1359,1007,23,16,72,65,6,4,1251,0.46s,62%,2.8,00:03:19
