Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,Bounce Rate for Returning Visits,Avg. Actions per Returning Visit,Avg. Duration of a Returning Visit (in sec),Conversions,Visits with Conversions,Revenue,Conversion Rate,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds)
2016-05-20,6,8,0,118,30,0,6865,3,41,2,0,30,0%,13.7,00:14:43,0,0,0,0%,0,0,0,0%,0,0,0,0%,116,51,0,0,2,2,0,0,116,0.13s,0%,14.8,00:14:18
2016-05-21,1,1,0,31,31,0,1429,,,,,,0%,0,00:00:00,0,0,0,0%,0,0,0,0%,,,,,31,8,0,0,0,0,0,0,31,0.13s,0%,31,00:23:49
2016-05-23,3,5,0,37,16,0,197,5,37,3,0,16,0%,7.4,00:00:39,0,0,0,0%,,,,,0,0,0,0%,37,24,0,0,0,0,0,0,37,0.16s,0%,7.4,00:00:39
2016-05-24,2,2,0,17,9,0,2431,1,8,1,0,8,0%,8,00:18:09,0,0,0,0%,0,0,0,0%,0,0,0,0%,16,13,0,0,1,1,0,0,16,0.14s,0%,8.5,00:20:16
2016-05-25,5,7,0,38,19,4,1471,5,18,4,0,8,60%,3.6,00:04:28,0,0,0,0%,0,0,0,0%,0,0,0,0%,37,18,0,0,1,1,0,0,37,0.18s,57%,5.4,00:03:30
2016-05-26,16,18,0,70,14,8,2332,5,27,4,0,13,40%,5.4,00:04:13,0,0,0,0%,0,0,0,0%,0,0,0,0%,67,46,0,0,3,3,0,0,64,0.15s,44%,3.9,00:02:10
2016-05-27,7,8,0,55,18,2,2285,3,14,3,0,8,33%,4.7,00:01:21,0,0,0,0%,0,0,0,0%,0,0,0,0%,51,27,0,0,4,4,0,0,50,0.28s,25%,6.9,00:04:46
2016-05-28,3,3,0,16,14,2,146,1,1,1,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,16,10,0,0,0,0,0,0,16,0.17s,67%,5.3,00:00:49
2016-05-30,4,5,0,38,15,1,2819,5,38,4,0,15,20%,7.6,00:09:24,0,0,0,0%,,,,,0,0,0,0%,38,29,0,0,0,0,0,0,38,0.22s,20%,7.6,00:09:24
2016-05-31,3,5,0,10,4,3,756,5,10,3,0,4,60%,2,00:02:31,0,0,0,0%,,,,,0,0,0,0%,10,10,0,0,0,0,0,0,10,0.19s,60%,2,00:02:31
2016-06-01,4,7,0,8,2,6,95,5,5,2,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,8,8,0,0,0,0,0,0,8,0.21s,86%,1.1,00:00:14
2016-06-02,2,2,0,4,3,1,12,2,4,2,0,3,50%,2,00:00:06,0,0,0,0%,,,,,0,0,0,0%,4,4,0,0,0,0,0,0,4,0.19s,50%,2,00:00:06
2016-06-03,3,3,0,13,7,1,77,2,6,2,0,5,50%,3,00:00:07,0,0,0,0%,0,0,0,0%,0,0,0,0%,13,13,0,0,0,0,0,0,13,0.15s,33%,4.3,00:00:26
2016-06-06,4,11,0,35,14,5,2460,9,18,3,0,4,56%,2,00:03:44,0,0,0,0%,0,0,0,0%,0,0,0,0%,34,30,0,0,1,1,0,0,34,0.16s,45%,3.2,00:03:44
