Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Conversions,Visits with Conversions,Revenue,Conversion Rate,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds),Avg. Duration of a Returning Visit (in sec),Avg. Actions per Returning Visit,Bounce Rate for Returning Visits,Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit
2016-01-01,1,1,0,1,1,1,0,0,0,0,0%,0,0,0,0%,1,1,0,0,0,0,0,0,1,0.43s,100%,1,00:00:00,00:00:00,0,0%
2016-01-05,1,1,0,5,5,0,38,0,0,0,0%,0,0,0,0%,5,5,0,0,0,0,0,0,5,0.46s,0%,5,00:00:38,00:00:00,0,0%
2016-01-06,2,2,0,3,2,1,12,0,0,0,0%,0,0,0,0%,3,3,0,0,0,0,0,0,3,0.69s,50%,1.5,00:00:06,00:00:00,0,0%
2016-01-07,1,1,0,1,1,1,0,0,0,0,0%,,,,,1,1,0,0,0,0,0,0,1,0.7s,100%,1,00:00:00,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2016-01-08,1,1,0,1,1,1,0,0,0,0,0%,0,0,0,0%,1,1,0,0,0,0,0,0,1,0.26s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-01-09,2,4,0,29,15,0,2076,0,0,0,0%,0,0,0,0%,21,16,8,7,0,0,0,0,21,0.38s,0%,7.3,00:08:39,00:11:10,8.7,0%,3,26,1,0,15,0,0,0,0%
2016-01-10,2,2,0,11,10,1,359,0,0,0,0%,0,0,0,0%,11,8,0,0,0,0,0,0,11,0.1s,50%,5.5,00:03:00,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2016-01-11,5,7,0,15,6,4,491,0,0,0,0%,0,0,0,0%,15,13,0,0,0,0,0,0,15,0.76s,57%,2.1,00:01:10,00:07:23,2,0%,1,2,1,0,2,0,0,0,0%
2016-01-12,4,4,0,4,1,4,0,0,0,0,0%,0,0,0,0%,4,4,0,0,0,0,0,0,4,1.12s,100%,1,00:00:00,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2016-01-13,7,8,0,35,13,4,2403,0,0,0,0%,0,0,0,0%,34,18,1,1,0,0,0,0,34,0.36s,50%,4.4,00:05:00,00:00:41,5,0%,1,5,1,0,5,0,0,0,0%
2016-01-14,5,6,0,18,9,4,1397,0,0,0,0%,0,0,0,0%,18,12,0,0,0,0,0,0,13,0.67s,67%,3,00:03:53,00:06:54,5,0%,1,5,1,0,5,0,0,0,0%
2016-01-15,1,1,0,1,1,1,0,0,0,0,0%,0,0,0,0%,1,1,0,0,0,0,0,0,1,0.19s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-01-17,2,2,0,2,1,2,0,0,0,0,0%,0,0,0,0%,2,2,0,0,0,0,0,0,2,0.24s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-01-18,2,2,0,3,2,1,15,0,0,0,0%,0,0,0,0%,3,3,0,0,0,0,0,0,3,0.24s,50%,1.5,00:00:08,00:00:00,0,0%,,,,,,,,,
2016-01-19,6,6,0,8,2,4,31,0,0,0,0%,0,0,0,0%,8,8,0,0,0,0,0,0,8,0.31s,67%,1.3,00:00:05,00:00:24,2,0%,1,2,1,0,2,0,0,0,0%
2016-01-21,4,4,0,10,7,3,63,0,0,0,0%,0,0,0,0%,10,7,0,0,0,0,0,0,10,0.67s,75%,2.5,00:00:16,00:01:03,7,0%,1,7,1,0,7,0,0,0,0%
2016-01-22,1,3,0,4,2,2,22,0,0,0,0%,0,0,0,0%,4,4,0,0,0,0,0,0,4,0.55s,67%,1.3,00:00:07,00:00:11,1.5,50%,2,3,1,0,2,0,0,0,0%
2016-01-23,1,1,0,1,1,1,0,0,0,0,0%,0,0,0,0%,1,1,0,0,0,0,0,0,1,0.03s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-01-24,1,1,0,1,1,1,0,0,0,0,0%,0,0,0,0%,1,1,0,0,0,0,0,0,1,0.13s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-01-25,5,5,0,70,46,3,1882,0,0,0,0%,0,0,0,0%,69,21,0,0,1,1,0,0,67,0.45s,60%,14,00:06:16,00:00:00,0,0%,,,,,,,,,
2016-01-26,6,6,0,6,1,6,0,0,0,0,0%,0,0,0,0%,6,6,0,0,0,0,0,0,5,0.22s,100%,1,00:00:00,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2016-01-27,3,3,0,11,7,1,397,0,0,0,0%,0,0,0,0%,11,9,0,0,0,0,0,0,11,0.62s,33%,3.7,00:02:12,00:00:00,0,0%,,,,,,,,,
2016-01-28,4,5,0,30,14,2,1549,0,0,0,0%,0,0,0,0%,30,18,0,0,0,0,0,0,29,0.38s,40%,6,00:05:10,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2016-01-29,2,2,0,10,9,1,195,0,0,0,0%,0,0,0,0%,10,9,0,0,0,0,0,0,10,0.18s,50%,5,00:01:38,00:00:00,0,0%,,,,,,,,,
2016-01-30,5,5,0,23,13,3,346,0,0,0,0%,0,0,0,0%,23,11,0,0,0,0,0,0,23,0.43s,60%,4.6,00:01:09,00:01:34,7,0%,1,7,1,0,7,0,0,0,0%
2016-01-31,3,3,0,32,20,1,1051,0,0,0,0%,0,0,0,0%,30,24,2,2,0,0,0,0,29,0.97s,33%,10.7,00:05:50,00:15:08,20,0%,1,20,1,0,20,0,0,0,0%
2016-02-01,4,5,0,51,46,3,3358,0,0,0,0%,0,0,0,0%,50,24,0,0,1,1,0,0,43,0.15s,60%,10.2,00:11:12,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2016-02-02,7,8,0,64,29,3,1129,0,0,0,0%,0,0,0,0%,60,34,1,1,3,3,0,0,57,0.4s,38%,8,00:02:21,00:00:45,5,0%,1,5,1,0,5,0,0,0,0%
2016-02-03,4,5,0,18,10,2,1984,0,0,0,0%,0,0,0,0%,18,16,0,0,0,0,0,0,17,1.26s,40%,3.6,00:06:37,00:00:44,3,0%,1,3,1,0,3,0,0,0,0%
2016-02-04,5,5,0,49,19,1,3901,0,0,0,0%,0,0,0,0%,47,19,0,0,2,2,0,0,44,0.46s,20%,9.8,00:13:00,00:00:00,0,0%,,,,,,,,,
2016-02-05,4,4,0,4,1,4,0,0,0,0,0%,0,0,0,0%,4,4,0,0,0,0,0,0,3,0.14s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-02-06,1,1,0,1,1,1,0,0,0,0,0%,0,0,0,0%,1,1,0,0,0,0,0,0,1,0.26s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-02-07,2,4,0,37,18,2,1528,0,0,0,0%,0,0,0,0%,35,22,2,2,0,0,0,0,35,0.88s,50%,9.3,00:06:22,00:11:00,18,0%,1,18,1,0,18,0,0,0,0%
2016-02-08,1,1,0,1,1,1,0,0,0,0,0%,0,0,0,0%,1,1,0,0,0,0,0,0,1,0.08s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-02-09,5,5,0,29,24,3,358,0,0,0,0%,0,0,0,0%,28,14,0,0,1,1,0,0,28,0.84s,60%,5.8,00:01:12,00:00:00,0,0%,,,,,,,,,
2016-02-10,2,2,0,2,1,2,0,0,0,0,0%,0,0,0,0%,2,2,0,0,0,0,0,0,2,0.47s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-02-11,7,7,0,7,1,7,0,0,0,0,0%,0,0,0,0%,7,7,0,0,0,0,0,0,7,0.81s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-02-12,4,4,0,4,1,4,0,0,0,0,0%,0,0,0,0%,4,4,0,0,0,0,0,0,4,0.4s,100%,1,00:00:00,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2016-02-13,1,1,0,3,3,0,16,0,0,0,0%,0,0,0,0%,3,2,0,0,0,0,0,0,3,1s,0%,3,00:00:16,00:00:00,0,0%,,,,,,,,,
2016-02-14,2,2,0,2,1,2,0,0,0,0,0%,0,0,0,0%,2,2,0,0,0,0,0,0,2,0.81s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-02-15,1,1,0,1,1,1,0,0,0,0,0%,0,0,0,0%,1,1,0,0,0,0,0,0,1,1.99s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-02-16,2,2,0,2,1,2,0,0,0,0,0%,0,0,0,0%,2,2,0,0,0,0,0,0,2,1.23s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-02-17,3,3,0,5,3,2,52,0,0,0,0%,0,0,0,0%,5,5,0,0,0,0,0,0,5,1.29s,67%,1.7,00:00:17,00:00:00,0,0%,,,,,,,,,
2016-02-18,6,6,0,42,24,3,1663,0,0,0,0%,0,0,0,0%,41,21,0,0,1,1,0,0,16,0.08s,50%,7,00:04:37,00:00:00,0,0%,,,,,,,,,
2016-02-19,3,3,0,16,14,2,866,0,0,0,0%,0,0,0,0%,16,10,0,0,0,0,0,0,2,0.11s,67%,5.3,00:04:49,00:00:00,0,0%,,,,,,,,,
2016-02-20,2,3,0,3,1,3,0,0,0,0,0%,0,0,0,0%,3,3,0,0,0,0,0,0,3,0.25s,100%,1,00:00:00,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2016-02-21,3,4,0,4,1,4,0,0,0,0,0%,0,0,0,0%,4,4,0,0,0,0,0,0,4,0.79s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-02-22,5,5,0,7,3,4,22,0,0,0,0%,0,0,0,0%,6,6,0,0,1,1,0,0,6,0.26s,80%,1.4,00:00:04,00:00:00,0,0%,,,,,,,,,
2016-02-23,8,9,0,42,32,7,1996,0,0,0,0%,0,0,0,0%,42,23,0,0,0,0,0,0,38,0.68s,78%,4.7,00:03:42,00:00:00,0,0%,,,,,,,,,
2016-02-24,6,6,0,25,11,3,396,0,0,0,0%,0,0,0,0%,25,16,0,0,0,0,0,0,25,1.22s,50%,4.2,00:01:06,00:01:15,2,0%,1,2,1,0,2,0,0,0,0%
2016-02-25,2,2,0,10,7,0,236,0,0,0,0%,0,0,0,0%,10,8,0,0,0,0,0,0,10,1.88s,0%,5,00:01:58,00:00:00,0,0%,,,,,,,,,
2016-02-26,3,3,0,3,1,3,0,0,0,0,0%,0,0,0,0%,3,3,0,0,0,0,0,0,3,1.08s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-02-28,2,2,0,24,15,0,958,0,0,0,0%,0,0,0,0%,24,13,0,0,0,0,0,0,24,1.5s,0%,12,00:07:59,00:00:00,0,0%,,,,,,,,,
2016-02-29,2,2,0,9,8,1,156,0,0,0,0%,0,0,0,0%,9,7,0,0,0,0,0,0,4,0.64s,50%,4.5,00:01:18,00:00:00,0,0%,,,,,,,,,
2016-03-01,2,2,0,2,1,2,0,0,0,0,0%,0,0,0,0%,2,2,0,0,0,0,0,0,2,5.98s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-03-02,1,1,0,1,1,1,0,0,0,0,0%,,,,,1,1,0,0,0,0,0,0,1,0.23s,100%,1,00:00:00,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2016-03-03,6,6,0,8,3,5,128,0,0,0,0%,0,0,0,0%,8,7,0,0,0,0,0,0,8,1.64s,83%,1.3,00:00:21,00:00:00,0,0%,,,,,,,,,
2016-03-04,4,5,0,17,10,3,235,0,0,0,0%,0,0,0,0%,17,12,0,0,0,0,0,0,17,1.07s,60%,3.4,00:00:47,00:01:30,5.5,50%,2,11,2,0,10,0,0,0,0%
2016-03-06,1,1,0,1,1,1,0,0,0,0,0%,0,0,0,0%,1,1,0,0,0,0,0,0,1,0.5s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-03-07,3,4,0,7,4,3,96,0,0,0,0%,0,0,0,0%,7,6,0,0,0,0,0,0,7,2.73s,75%,1.8,00:00:24,00:00:00,0,0%,,,,,,,,,
2016-03-08,3,3,0,4,2,2,25,0,0,0,0%,0,0,0,0%,4,4,0,0,0,0,0,0,4,1.42s,67%,1.3,00:00:08,00:00:00,0,0%,,,,,,,,,
2016-03-09,4,4,0,4,1,4,0,0,0,0,0%,0,0,0,0%,4,4,0,0,0,0,0,0,4,0.15s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-03-10,5,5,0,37,19,2,2864,0,0,0,0%,0,0,0,0%,36,19,0,0,1,1,0,0,34,0.28s,40%,7.4,00:09:33,00:00:00,0,0%,,,,,,,,,
2016-03-11,2,2,0,2,1,2,0,0,0,0,0%,0,0,0,0%,2,2,0,0,0,0,0,0,2,2.33s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-03-12,1,1,0,5,5,0,1206,0,0,0,0%,0,0,0,0%,5,3,0,0,0,0,0,0,5,2.12s,0%,5,00:20:06,00:00:00,0,0%,,,,,,,,,
2016-03-13,2,2,0,19,14,0,174,0,0,0,0%,0,0,0,0%,19,9,0,0,0,0,0,0,16,2.15s,0%,9.5,00:01:27,00:00:00,0,0%,,,,,,,,,
2016-03-14,3,3,0,3,1,3,0,0,0,0,0%,0,0,0,0%,3,3,0,0,0,0,0,0,3,0.14s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-03-15,4,5,0,38,17,1,1984,0,0,0,0%,0,0,0,0%,35,23,3,3,0,0,0,0,35,1.04s,20%,7.6,00:06:37,00:14:18,12,0%,2,24,2,0,17,0,0,0,0%
2016-03-16,5,5,0,26,12,1,1015,0,0,0,0%,0,0,0,0%,26,21,0,0,0,0,0,0,26,1.29s,20%,5.2,00:03:23,00:04:24,9,0%,1,9,1,0,9,0,0,0,0%
2016-03-17,2,3,0,4,2,2,26,0,0,0,0%,0,0,0,0%,4,3,0,0,0,0,0,0,4,0.63s,67%,1.3,00:00:09,00:00:26,2,0%,1,2,1,0,2,0,0,0,0%
2016-03-18,3,3,0,3,1,3,0,0,0,0,0%,0,0,0,0%,3,3,0,0,0,0,0,0,3,0.94s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
