Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Conversions,Visits with Conversions,Revenue,Conversion Rate,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds),Avg. Duration of a Returning Visit (in sec),Avg. Actions per Returning Visit,Bounce Rate for Returning Visits,Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit
2016-05-01,11,11,0,17,4,7,1509,0,0,0,0%,0,0,0,0%,16,11,0,0,1,1,0,0,15,0.18s,64%,1.5,00:02:17,00:00:00,0,0%
2016-05-02,66,70,0,80,3,61,2491,0,0,0,0%,0,0,0,0%,79,71,0,0,1,1,0,0,78,0.35s,87%,1.1,00:00:36,00:00:00,1,100%,6,6,5,0,1,0,0,0,0%
2016-05-03,83,92,0,122,6,71,10396,0,0,0,0%,0,0,0,0%,122,92,0,0,0,0,0,0,117,0.32s,77%,1.3,00:01:53,00:00:01,1.1,90%,10,11,10,0,2,0,0,0,0%
2016-05-04,115,122,0,164,9,100,13770,0,0,0,0%,0,0,0,0%,164,122,0,0,0,0,0,0,157,0.2s,82%,1.3,00:01:53,00:00:12,1.2,86%,21,25,19,0,3,0,0,0,0%
2016-05-05,150,164,0,208,5,135,15807,0,0,0,0%,0,0,0,0%,208,164,0,0,0,0,0,0,192,0.23s,82%,1.3,00:01:36,00:04:03,1.2,85%,20,24,16,0,3,0,0,0,0%
2016-05-06,114,126,0,171,6,102,11280,0,0,0,0%,0,0,0,0%,171,126,0,0,0,0,0,0,159,0.45s,81%,1.4,00:01:30,00:00:59,1.4,75%,20,27,14,0,4,0,0,0,0%
2016-05-07,63,66,0,83,4,55,6065,0,0,0,0%,0,0,0,0%,83,66,0,0,0,0,0,0,78,0.51s,83%,1.3,00:01:32,00:00:00,1,100%,13,13,12,0,1,0,0,0,0%
2016-05-08,47,50,0,63,3,40,2349,0,0,0,0%,0,0,0,0%,63,50,0,0,0,0,0,0,59,0.18s,80%,1.3,00:00:47,00:00:12,1.2,91%,11,13,9,0,3,0,0,0,0%
2016-05-09,127,130,0,160,3,104,5060,0,0,0,0%,0,0,0,0%,160,130,0,0,0,0,0,0,143,0.27s,80%,1.2,00:00:39,00:01:01,1.3,80%,15,19,15,0,3,0,0,0,0%
2016-05-10,119,124,0,151,4,106,9152,0,0,0,0%,0,0,0,0%,151,124,0,0,0,0,0,0,141,0.33s,85%,1.2,00:01:14,00:01:31,1.3,76%,17,22,14,0,3,0,0,0,0%
