Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Conversions,Visits with Conversions,Revenue,Conversion Rate,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds),Avg. Duration of a Returning Visit (in sec),Avg. Actions per Returning Visit,Bounce Rate for Returning Visits,Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit
2016-01-02,1,1,0,1,1,1,0,0,0,0,0%,0,0,0,0%,1,1,0,0,0,0,0,0,1,0.69s,100%,1,00:00:00,00:00:00,0,0%
2016-01-04,1,1,0,2,2,0,53,0,0,0,0%,0,0,0,0%,2,2,0,0,0,0,0,0,2,1.1s,0%,2,00:00:53,00:00:00,0,0%
2016-01-05,2,2,0,4,3,1,289,0,0,0,0%,0,0,0,0%,4,4,0,0,0,0,0,0,4,0.64s,50%,2,00:02:25,00:00:00,0,0%
2016-01-06,3,3,0,4,2,2,660,0,0,0,0%,0,0,0,0%,4,3,0,0,0,0,0,0,4,0.25s,67%,1.3,00:03:40,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2016-01-07,1,1,0,1,1,1,0,0,0,0,0%,0,0,0,0%,1,1,0,0,0,0,0,0,1,1.07s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-01-08,1,1,0,1,1,1,0,0,0,0,0%,0,0,0,0%,1,1,0,0,0,0,0,0,1,0.66s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-01-09,2,2,0,2,1,2,0,0,0,0,0%,0,0,0,0%,2,2,0,0,0,0,0,0,2,0.66s,100%,1,00:00:00,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2016-01-11,2,2,0,4,3,1,287,0,0,0,0%,0,0,0,0%,4,4,0,0,0,0,0,0,4,5.27s,50%,2,00:02:24,00:00:00,0,0%,,,,,,,,,
2016-01-12,3,3,0,3,1,3,0,0,0,0,0%,0,0,0,0%,3,3,0,0,0,0,0,0,3,1.18s,100%,1,00:00:00,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2016-01-14,4,6,0,24,11,3,1507,0,0,0,0%,0,0,0,0%,21,14,0,0,3,3,0,0,21,0.5s,50%,4,00:04:11,00:07:30,3.7,33%,3,11,1,0,7,0,0,0,0%
2016-01-15,3,3,0,3,1,3,0,0,0,0,0%,0,0,0,0%,3,3,0,0,0,0,0,0,3,0.83s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-01-16,2,2,0,2,1,2,0,0,0,0,0%,0,0,0,0%,2,2,0,0,0,0,0,0,1,0.11s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-01-17,5,6,0,9,3,4,208,0,0,0,0%,0,0,0,0%,7,6,0,0,2,2,0,0,4,8.29s,67%,1.5,00:00:35,00:00:00,0,0%,,,,,,,,,
2016-01-18,3,3,0,8,5,1,60,0,0,0,0%,0,0,0,0%,8,7,0,0,0,0,0,0,8,0.14s,33%,2.7,00:00:20,00:00:00,0,0%,,,,,,,,,
2016-01-19,2,2,0,2,1,2,0,0,0,0,0%,0,0,0,0%,2,2,0,0,0,0,0,0,2,0.82s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-01-20,5,5,0,7,3,4,902,0,0,0,0%,0,0,0,0%,7,5,0,0,0,0,0,0,6,0.23s,80%,1.4,00:03:00,00:00:00,0,0%,,,,,,,,,
2016-01-21,3,3,0,4,2,2,41,0,0,0,0%,0,0,0,0%,4,4,0,0,0,0,0,0,4,0.44s,67%,1.3,00:00:14,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2016-01-22,1,1,0,1,1,1,0,0,0,0,0%,,,,,1,1,0,0,0,0,0,0,1,31.74s,100%,1,00:00:00,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2016-01-23,2,2,0,6,5,1,112,0,0,0,0%,0,0,0,0%,5,4,0,0,1,1,0,0,5,0.15s,50%,3,00:00:56,00:00:00,0,0%,,,,,,,,,
2016-01-24,2,2,0,2,1,2,0,0,0,0,0%,0,0,0,0%,2,2,0,0,0,0,0,0,2,32.85s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-01-25,1,1,0,4,4,0,86,0,0,0,0%,0,0,0,0%,4,1,0,0,0,0,0,0,2,0.1s,0%,4,00:01:26,00:00:00,0,0%,,,,,,,,,
2016-01-26,15,15,0,24,3,9,1797,0,0,0,0%,0,0,0,0%,22,18,0,0,2,2,0,0,19,0.34s,60%,1.6,00:02:00,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2016-01-27,12,12,0,24,6,6,1602,0,0,0,0%,0,0,0,0%,19,18,0,0,5,5,0,0,17,0.46s,50%,2,00:02:14,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2016-01-28,9,10,0,34,11,3,2245,0,0,0,0%,0,0,0,0%,31,21,1,1,2,2,0,0,26,0.21s,30%,3.4,00:03:45,00:00:09,2,0%,1,2,1,0,2,0,0,0,0%
2016-01-29,5,8,0,14,5,5,395,0,0,0,0%,0,0,0,0%,13,11,0,0,1,1,0,0,12,0.71s,63%,1.8,00:00:49,00:00:15,1.2,80%,5,6,2,0,2,0,0,0,0%
2016-01-30,2,2,0,2,1,2,0,0,0,0,0%,0,0,0,0%,2,2,0,0,0,0,0,0,2,0.39s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-01-31,3,3,0,4,2,2,12,0,0,0,0%,0,0,0,0%,4,3,0,0,0,0,0,0,4,0.28s,67%,1.3,00:00:04,00:00:00,0,0%,,,,,,,,,
2016-02-01,1,1,0,1,1,1,0,0,0,0,0%,0,0,0,0%,1,1,0,0,0,0,0,0,1,0.41s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-02-02,2,2,0,6,4,0,256,0,0,0,0%,0,0,0,0%,6,4,0,0,0,0,0,0,6,0.27s,0%,3,00:02:08,00:00:00,0,0%,,,,,,,,,
2016-02-03,4,5,0,10,3,2,756,0,0,0,0%,0,0,0,0%,9,7,1,1,0,0,0,0,9,0.1s,40%,2,00:02:31,00:11:32,2,0%,1,2,1,0,2,0,0,0,0%
2016-02-04,1,1,0,1,1,1,0,0,0,0,0%,0,0,0,0%,1,1,0,0,0,0,0,0,1,0.14s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-02-05,3,3,0,8,5,1,33,0,0,0,0%,0,0,0,0%,7,3,0,0,1,1,0,0,7,0.21s,33%,2.7,00:00:11,00:00:29,5,0%,1,5,1,0,5,0,0,0,0%
2016-02-06,1,1,0,1,1,1,0,0,0,0,0%,0,0,0,0%,1,1,0,0,0,0,0,0,1,0.37s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-02-09,2,2,0,4,2,0,135,0,0,0,0%,0,0,0,0%,3,3,0,0,1,1,0,0,3,0.29s,0%,2,00:01:08,00:00:04,2,0%,1,2,1,0,2,0,0,0,0%
2016-02-10,3,3,0,13,11,2,939,0,0,0,0%,0,0,0,0%,13,8,0,0,0,0,0,0,13,0.17s,67%,4.3,00:05:13,00:00:00,0,0%,,,,,,,,,
2016-02-11,3,4,0,7,4,3,22,0,0,0,0%,0,0,0,0%,4,4,0,0,3,3,0,0,4,0.24s,75%,1.8,00:00:06,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2016-02-12,2,2,0,2,1,2,0,0,0,0,0%,0,0,0,0%,2,2,0,0,0,0,0,0,2,0.57s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-02-13,2,2,0,7,6,1,514,0,0,0,0%,0,0,0,0%,6,5,0,0,1,1,0,0,6,0.21s,50%,3.5,00:04:17,00:00:00,0,0%,,,,,,,,,
2016-02-14,3,3,0,7,3,0,191,0,0,0,0%,0,0,0,0%,7,5,0,0,0,0,0,0,7,1.85s,0%,2.3,00:01:04,00:00:04,2,0%,1,2,1,0,2,0,0,0,0%
2016-02-15,2,2,0,2,1,2,0,0,0,0,0%,0,0,0,0%,2,2,0,0,0,0,0,0,2,0.67s,100%,1,00:00:00,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2016-02-16,2,2,0,5,4,1,515,0,0,0,0%,0,0,0,0%,5,3,0,0,0,0,0,0,5,0.11s,50%,2.5,00:04:18,00:00:00,0,0%,,,,,,,,,
2016-02-17,1,1,0,4,4,0,445,0,0,0,0%,0,0,0,0%,4,1,0,0,0,0,0,0,4,0.06s,0%,4,00:07:25,00:00:00,0,0%,,,,,,,,,
2016-02-18,2,2,0,2,1,2,0,0,0,0,0%,0,0,0,0%,2,2,0,0,0,0,0,0,2,11.41s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-02-19,3,3,0,3,1,3,0,0,0,0,0%,0,0,0,0%,3,3,0,0,0,0,0,0,3,7.73s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-02-20,2,2,0,2,1,2,0,0,0,0,0%,0,0,0,0%,2,2,0,0,0,0,0,0,2,0.13s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-02-21,2,2,0,4,3,1,1218,0,0,0,0%,0,0,0,0%,3,3,0,0,1,1,0,0,3,0.09s,50%,2,00:10:09,00:00:00,0,0%,,,,,,,,,
2016-02-22,3,5,0,6,2,4,13,0,0,0,0%,0,0,0,0%,6,5,0,0,0,0,0,0,6,0.13s,80%,1.2,00:00:03,00:00:00,1,100%,2,2,1,0,1,0,0,0,0%
2016-02-24,3,4,0,15,7,0,549,0,0,0,0%,0,0,0,0%,14,14,0,0,1,1,0,0,13,2.55s,0%,3.8,00:02:17,00:08:02,7,0%,1,7,1,0,7,0,0,0,0%
2016-02-25,4,4,0,6,3,3,29,0,0,0,0%,0,0,0,0%,6,5,0,0,0,0,0,0,5,1.1s,75%,1.5,00:00:07,00:00:15,2,50%,2,4,2,0,3,0,0,0,0%
2016-02-26,1,1,0,1,1,1,0,0,0,0,0%,0,0,0,0%,1,1,0,0,0,0,0,0,1,0.05s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-02-27,1,1,0,1,1,1,0,0,0,0,0%,0,0,0,0%,1,1,0,0,0,0,0,0,1,0.18s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-02-28,1,1,0,1,1,1,0,0,0,0,0%,0,0,0,0%,1,1,0,0,0,0,0,0,1,0.43s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2016-02-29,2,2,0,3,2,1,13,0,0,0,0%,0,0,0,0%,2,2,0,0,1,1,0,0,2,0.5s,50%,1.5,00:00:07,00:00:00,0,0%,,,,,,,,,
2016-03-01,4,4,0,4,1,4,0,0,0,0,0%,0,0,0,0%,4,4,0,0,0,0,0,0,4,0.44s,100%,1,00:00:00,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
