Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,Bounce Rate for Returning Visits,Avg. Actions per Returning Visit,Avg. Duration of a Returning Visit (in sec),Conversions,Visits with Conversions,Revenue,Conversion Rate,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds)
2016-01-01,109,164,0,515,20,76,37426,108,395,55,0,20,33%,3.7,00:04:41,0,0,0,0%,0,0,0,0%,0,0,0,0%,449,361,0,0,17,17,49,18,422,0.63s,46%,3.1,00:03:48
2016-01-02,133,213,0,612,22,112,35621,143,469,67,0,20,41%,3.3,00:03:09,0,0,0,0%,0,0,0,0%,0,0,0,0%,531,414,0,0,19,19,62,23,517,0.78s,53%,2.9,00:02:47
2016-01-03,159,223,0,864,58,109,65007,135,608,76,0,26,33%,4.5,00:06:21,0,0,0,0%,0,0,0,0%,0,0,0,0%,709,547,0,0,27,25,128,24,692,0.69s,49%,3.9,00:04:52
2016-01-04,261,394,0,1610,51,184,144076,243,1199,121,0,51,37%,4.9,00:07:44,0,0,0,0%,0,0,0,0%,0,0,0,0%,1372,964,0,0,37,37,201,55,1333,0.56s,47%,4.1,00:06:06
2016-01-05,331,527,0,2199,85,247,191648,330,1463,160,0,85,41%,4.4,00:07:17,0,0,0,0%,0,0,0,0%,0,0,0,0%,1844,1276,0,0,57,54,298,81,1794,0.49s,47%,4.2,00:06:04
2016-01-06,261,399,0,1292,66,213,102780,250,959,121,0,66,45%,3.8,00:05:40,0,0,0,0%,0,0,0,0%,0,0,0,0%,1108,827,0,0,29,29,155,52,1080,0.65s,53%,3.2,00:04:18
2016-01-07,258,415,0,1603,52,173,169261,294,1145,153,0,52,40%,3.9,00:07:35,0,0,0,0%,0,0,0,0%,0,0,0,0%,1309,923,0,0,41,39,253,79,1233,0.64s,42%,3.9,00:06:48
2016-01-08,264,414,0,1780,90,181,171611,290,1159,156,0,90,43%,4,00:07:33,0,0,0,0%,0,0,0,0%,0,0,0,0%,1558,1075,0,0,39,37,183,81,1503,0.73s,44%,4.3,00:06:55
2016-01-09,129,211,0,660,24,101,46435,151,526,76,0,24,41%,3.5,00:03:59,0,0,0,0%,0,0,0,0%,0,0,0,0%,553,436,0,0,29,28,78,33,532,0.58s,48%,3.1,00:03:40
2016-01-10,169,274,0,943,54,123,87377,185,680,94,0,54,40%,3.7,00:05:14,0,0,0,0%,0,0,0,0%,0,0,0,0%,751,571,0,0,48,46,144,38,742,0.7s,45%,3.4,00:05:19
2016-01-11,256,387,0,1450,38,178,132449,254,992,133,0,38,38%,3.9,00:06:43,0,0,0,0%,0,0,0,0%,0,0,0,0%,1179,844,0,0,30,29,241,66,1140,1.65s,46%,3.7,00:05:42
2016-01-12,296,474,0,1701,44,228,142175,323,1231,157,0,38,44%,3.8,00:05:45,0,0,0,0%,0,0,0,0%,0,0,0,0%,1413,988,0,0,28,27,260,77,1389,1.26s,48%,3.6,00:05:00
2016-01-13,254,422,0,1484,33,189,123785,305,1073,156,0,33,43%,3.5,00:05:11,0,0,0,0%,0,0,0,0%,0,0,0,0%,1219,882,0,0,41,38,224,55,1195,0.57s,45%,3.5,00:04:53
2016-01-14,275,416,0,1496,52,173,92463,254,949,140,0,52,41%,3.7,00:04:31,0,0,0,0%,0,0,0,0%,0,0,0,0%,1221,909,0,0,41,40,234,64,1190,0.45s,42%,3.6,00:03:42
