Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,Bounce Rate for Returning Visits,Avg. Actions per Returning Visit,Avg. Duration of a Returning Visit (in sec),Conversions,Visits with Conversions,Revenue,Conversion Rate,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds)
2018-09-05,74,82,0,112,5,63,12067,9,19,7,0,5,56%,2.1,00:06:42,0,0,0,0%,0,0,0,0%,0,0,0,0%,111,93,0,0,1,1,0,0,111,0.21s,77%,1.4,00:02:27
2018-09-06,235,256,0,339,8,209,25381,35,59,28,0,8,74%,1.7,00:03:13,0,0,0,0%,0,0,0,0%,0,0,0,0%,330,289,0,0,9,7,0,0,319,0.32s,82%,1.3,00:01:39
2018-09-07,105,129,0,194,21,106,11593,39,52,29,0,6,82%,1.3,00:00:51,0,0,0,0%,0,0,0,0%,0,0,0,0%,191,163,0,0,3,3,0,0,184,0.24s,82%,1.5,00:01:30
2018-09-08,40,45,0,57,4,38,2005,17,17,13,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,55,51,0,0,2,2,0,0,54,0.29s,84%,1.3,00:00:45
2018-09-09,22,28,0,35,3,23,1424,14,16,10,0,3,93%,1.1,00:00:03,0,0,0,0%,0,0,0,0%,0,0,0,0%,35,32,0,0,0,0,0,0,34,0.32s,82%,1.3,00:00:51
2018-09-10,47,51,0,66,4,42,5827,24,27,21,0,3,92%,1.1,00:00:19,0,0,0,0%,0,0,0,0%,0,0,0,0%,66,60,0,0,0,0,0,0,63,0.3s,82%,1.3,00:01:54
2018-09-11,19,22,0,31,6,18,2767,8,10,6,0,3,88%,1.3,00:01:41,0,0,0,0%,0,0,0,0%,0,0,0,0%,31,26,0,0,0,0,0,0,31,0.47s,82%,1.4,00:02:06
2018-09-12,20,22,0,31,4,16,880,9,9,9,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,31,24,0,0,0,0,0,0,31,0.18s,73%,1.4,00:00:40
2018-09-13,24,31,0,39,3,25,3893,17,22,10,0,3,82%,1.3,00:02:59,0,0,0,0%,0,0,0,0%,0,0,0,0%,39,34,0,0,0,0,0,0,39,0.54s,81%,1.3,00:02:06
2018-09-14,14,16,0,22,4,13,2087,9,13,9,0,4,78%,1.4,00:01:50,0,0,0,0%,0,0,0,0%,0,0,0,0%,22,19,0,0,0,0,0,0,22,0.3s,81%,1.4,00:02:10
2018-09-15,30,35,0,56,9,26,3249,11,23,9,0,9,64%,2.1,00:03:50,0,0,0,0%,0,0,0,0%,0,0,0,0%,54,43,0,0,2,2,0,0,53,0.24s,74%,1.6,00:01:33
2018-09-16,21,26,0,29,3,24,768,9,11,6,0,3,89%,1.2,00:01:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,29,27,0,0,0,0,0,0,29,0.24s,92%,1.1,00:00:30
2018-09-17,37,49,0,62,8,42,3989,19,20,11,0,2,95%,1.1,00:00:04,0,0,0,0%,0,0,0,0%,0,0,0,0%,62,57,0,0,0,0,0,0,62,0.26s,86%,1.3,00:01:21
2018-09-18,21,22,0,27,3,18,1782,9,9,8,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,27,23,0,0,0,0,0,0,27,0.21s,82%,1.2,00:01:21
2018-09-19,21,22,0,24,2,20,840,6,7,6,0,2,83%,1.2,00:02:17,0,0,0,0%,0,0,0,0%,0,0,0,0%,24,23,0,0,0,0,0,0,24,0.26s,91%,1.1,00:00:38
2018-09-20,19,22,0,29,4,17,2529,7,11,6,0,4,71%,1.6,00:05:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,27,24,0,0,2,2,0,0,25,0.19s,77%,1.3,00:01:55
2018-09-21,24,29,0,42,6,21,2574,11,16,7,0,6,91%,1.5,00:00:36,0,0,0,0%,0,0,0,0%,0,0,0,0%,41,35,0,0,1,1,0,0,41,0.25s,72%,1.4,00:01:29
2018-09-22,3,4,0,4,1,4,0,2,2,2,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,4,4,0,0,0,0,0,0,4,0.28s,100%,1,00:00:00
2018-09-23,12,12,0,17,4,9,1623,3,6,3,0,4,67%,2,00:08:35,0,0,0,0%,0,0,0,0%,0,0,0,0%,17,14,0,0,0,0,0,0,17,0.18s,75%,1.4,00:02:15
2018-09-24,14,16,0,16,1,16,0,8,8,8,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,16,16,0,0,0,0,0,0,16,0.14s,100%,1,00:00:00
2018-09-25,11,13,0,19,6,11,1919,4,4,4,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,18,16,0,0,1,1,0,0,18,0.14s,85%,1.5,00:02:28
2018-09-26,10,10,0,39,27,7,2519,2,4,2,0,3,50%,2,00:02:02,0,0,0,0%,0,0,0,0%,0,0,0,0%,39,12,0,0,0,0,0,0,39,0.28s,70%,3.9,00:04:12
2018-09-27,20,22,0,29,3,17,2290,9,14,8,0,3,67%,1.6,00:02:45,0,0,0,0%,0,0,0,0%,0,0,0,0%,29,26,0,0,0,0,0,0,29,0.28s,77%,1.3,00:01:44
2018-09-28,17,19,0,26,6,17,227,5,5,4,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,26,20,0,0,0,0,0,0,22,0.35s,89%,1.4,00:00:12
2018-09-29,3,3,0,3,1,3,0,2,2,2,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,3,3,0,0,0,0,0,0,3,0.21s,100%,1,00:00:00
2018-09-30,14,16,0,44,22,10,6557,11,37,10,0,22,64%,3.4,00:08:56,0,0,0,0%,0,0,0,0%,0,0,0,0%,44,21,0,0,0,0,0,0,44,0.18s,63%,2.8,00:06:50
2018-10-01,17,20,0,39,12,15,4913,9,21,6,0,12,78%,2.3,00:08:56,0,0,0,0%,0,0,0,0%,0,0,0,0%,39,27,0,0,0,0,0,0,38,0.31s,75%,2,00:04:06
2018-10-02,14,17,0,28,5,11,2694,10,18,7,0,5,70%,1.8,00:04:20,0,0,0,0%,0,0,0,0%,0,0,0,0%,27,19,0,0,1,1,0,0,26,0.26s,65%,1.6,00:02:38
2018-10-03,12,12,0,16,3,9,1077,7,10,7,0,3,71%,1.4,00:02:25,0,0,0,0%,0,0,0,0%,0,0,0,0%,16,13,0,0,0,0,0,0,16,26.96s,75%,1.3,00:01:30
2018-10-04,12,12,0,17,3,9,894,8,11,8,0,3,75%,1.4,00:01:44,0,0,0,0%,0,0,0,0%,0,0,0,0%,17,15,0,0,0,0,0,0,17,0.35s,75%,1.4,00:01:15
2018-10-05,9,9,0,9,1,9,0,2,2,2,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,9,9,0,0,0,0,0,0,9,0.13s,100%,1,00:00:00
2018-10-06,16,16,0,16,1,16,0,3,3,3,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,16,16,0,0,0,0,0,0,16,0.27s,100%,1,00:00:00
2018-10-07,7,8,0,15,7,6,164,3,4,3,0,2,67%,1.3,00:00:17,0,0,0,0%,0,0,0,0%,0,0,0,0%,15,9,0,0,0,0,0,0,15,0.33s,75%,1.9,00:00:21
2018-10-08,11,12,0,16,3,9,792,5,8,4,0,3,60%,1.6,00:02:16,0,0,0,0%,0,0,0,0%,0,0,0,0%,16,13,0,0,0,0,0,0,15,0.2s,75%,1.3,00:01:06
2018-10-09,10,14,0,21,3,9,2390,8,11,6,0,3,75%,1.4,00:04:06,0,0,0,0%,0,0,0,0%,0,0,0,0%,19,17,0,0,2,2,0,0,19,0.13s,64%,1.5,00:02:51
2018-10-10,9,10,0,13,2,7,177,7,9,6,0,2,71%,1.3,00:00:08,0,0,0,0%,0,0,0,0%,0,0,0,0%,13,12,0,0,0,0,0,0,13,0.16s,70%,1.3,00:00:18
2018-10-11,8,8,0,11,3,6,149,4,5,4,0,2,75%,1.3,00:00:04,0,0,0,0%,0,0,0,0%,0,0,0,0%,11,11,0,0,0,0,0,0,11,0.35s,75%,1.4,00:00:19
