Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,Bounce Rate for Returning Visits,Avg. Actions per Returning Visit,Avg. Duration of a Returning Visit (in sec),Conversions,Visits with Conversions,Revenue,Conversion Rate,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds)
2016-01-01,133,138,0,323,57,100,12319,34,69,33,0,15,74%,2,00:01:04,0,0,0,0%,0,0,0,0%,0,0,0,0%,300,238,1,1,22,20,0,0,270,0.65s,72%,2.3,00:01:29
2016-01-02,116,125,0,244,15,91,12561,37,75,34,0,8,68%,2,00:01:14,0,0,0,0%,0,0,0,0%,0,0,0,0%,231,196,1,1,12,11,0,0,203,1.03s,73%,2,00:01:40
2016-01-03,116,123,0,259,17,93,11193,31,48,26,0,6,77%,1.5,00:01:30,0,0,0,0%,0,0,0,0%,0,0,0,0%,244,200,0,0,15,14,0,0,233,0.78s,76%,2.1,00:01:31
2016-01-04,241,267,0,579,22,185,20070,84,187,75,0,14,64%,2.2,00:02:08,0,0,0,0%,0,0,0,0%,0,0,0,0%,546,452,1,1,32,31,0,0,515,0.88s,69%,2.2,00:01:15
2016-01-05,213,237,0,536,27,164,27292,73,199,60,0,27,66%,2.7,00:02:44,0,0,0,0%,0,0,0,0%,0,0,0,0%,505,405,2,1,29,29,0,0,470,0.74s,69%,2.3,00:01:55
2016-01-06,176,206,0,463,25,138,22314,70,142,51,0,14,70%,2,00:01:58,0,0,0,0%,0,0,0,0%,0,0,0,0%,436,365,1,1,26,26,0,0,399,0.62s,67%,2.2,00:01:48
2016-01-07,198,214,0,682,73,140,30117,65,265,54,0,73,66%,4.1,00:03:24,0,0,0,0%,0,0,0,0%,0,0,0,0%,648,445,0,0,34,32,0,0,618,0.5s,65%,3.2,00:02:21
2016-01-08,210,220,0,523,38,140,26878,69,184,64,0,17,55%,2.7,00:02:44,0,0,0,0%,0,0,0,0%,0,0,0,0%,488,393,0,0,35,30,0,0,440,0.63s,64%,2.4,00:02:02
2016-01-09,103,106,0,243,19,71,9774,24,61,24,0,15,67%,2.5,00:01:01,0,0,0,0%,0,0,0,0%,0,0,0,0%,226,170,0,0,17,16,0,0,192,0.76s,67%,2.3,00:01:32
2016-01-10,159,169,0,347,27,129,13294,34,71,27,0,21,79%,2.1,00:00:36,0,0,0,0%,0,0,0,0%,0,0,0,0%,314,269,2,1,31,29,0,0,269,0.68s,76%,2.1,00:01:19
2016-01-11,181,201,0,522,39,122,21180,51,176,40,0,39,55%,3.5,00:02:55,0,0,0,0%,0,0,0,0%,0,0,0,0%,493,383,2,2,27,27,0,0,462,1.06s,61%,2.6,00:01:45
2016-01-12,237,273,0,646,32,176,25778,83,252,61,0,32,53%,3,00:02:09,0,0,0,0%,0,0,0,0%,0,0,0,0%,613,493,1,1,32,29,0,0,568,0.74s,64%,2.4,00:01:34
2016-01-13,227,245,0,713,34,152,22891,62,149,54,0,16,65%,2.4,00:01:29,0,0,0,0%,0,0,0,0%,0,0,0,0%,676,507,0,0,37,36,0,0,609,0.69s,62%,2.9,00:01:33
2016-01-14,214,231,0,577,32,156,23414,70,216,59,0,21,57%,3.1,00:03:02,0,0,0,0%,0,0,0,0%,0,0,0,0%,544,430,1,1,32,28,0,0,511,0.6s,68%,2.5,00:01:41
2016-01-15,250,277,0,601,31,174,27489,94,224,75,0,31,55%,2.4,00:02:49,0,0,0,0%,0,0,0,0%,0,0,0,0%,539,441,0,0,62,59,0,0,516,0.63s,63%,2.2,00:01:39
2016-01-16,304,335,0,656,31,209,33461,91,179,72,0,11,62%,2,00:02:46,0,0,0,0%,0,0,0,0%,0,0,0,0%,560,472,0,0,96,88,0,0,513,0.71s,62%,2,00:01:40
2016-01-17,226,250,0,661,22,138,22782,62,141,44,0,18,63%,2.3,00:01:55,0,0,0,0%,0,0,0,0%,0,0,0,0%,596,479,0,0,65,63,0,0,542,0.77s,55%,2.6,00:01:31
2016-01-18,285,316,0,852,33,177,36928,82,162,65,0,11,60%,2,00:02:14,0,0,0,0%,0,0,0,0%,0,0,0,0%,781,604,3,3,68,63,0,0,735,0.81s,56%,2.7,00:01:57
2016-01-19,309,339,0,922,53,213,48976,101,291,78,0,39,57%,2.9,00:03:03,0,0,0,0%,0,0,0,0%,0,0,0,0%,854,661,6,5,62,53,0,0,760,0.68s,63%,2.7,00:02:24
